key,zh,en
他们全部都复活了！但是他们都没有了之前的记忆。只有我，只有我还记得一切！,他们全部都复活了！但是他们都没有了之前的记忆。只有我，只有我还记得一切！,They were all resurrected! But none of them remembered their past. Only I — only I remember everything!
我不敢想象这一切的发生就像做梦一般。难道我经受的苦难都是一场梦吗?那我身上的疤痕又是怎么解释？,我不敢想象这一切的发生就像做梦一般。难道我经受的苦难都是一场梦吗?那我身上的疤痕又是怎么解释？,I can't believe this is real — it's like a dream. Was all my suffering just a dream? Then how do you explain my scars?
意识到这一切的变故，他又回到瘟疫的村子，所有人都已经死了，神殿接管了那片土地，他们把瘟疫归于魔塔之主,意识到这一切的变故，他又回到瘟疫的村子，所有人都已经死了，神殿接管了那片土地，他们把瘟疫归于魔塔之主,"Realizing what was happening, he went back to the plague village. Everyone was dead. The Temple had taken over the land, blaming the Tower Lord for the plague."
我做了一个大胆的决定，我去墓地检查那些尸体，我要找到费伦,我做了一个大胆的决定，我去墓地检查那些尸体，我要找到费伦,I made a bold decision. I went to the graveyard to examine the bodies — I had to find Ferren.
但是那些尸体不翼而飞，那些病死的人，又出现在了另一个地方，失去了记忆,但是那些尸体不翼而飞，那些病死的人，又出现在了另一个地方，失去了记忆,But the bodies had vanished. Those who died of disease had appeared somewhere else — memoryless.
我真的疯了吗？最后我选择进入魔塔，在这里我知道了更多……但是我不能说，我没有疯……我真的没有疯,我真的疯了吗？最后我选择进入魔塔，在这里我知道了更多……但是我不能说，我没有疯……我真的没有疯,"Am I really insane? In the end, I entered the Magic Tower. Here, I learned more... but I can't tell you. I'm not crazy... I'm really not."
……,……,...
幽灵不再和你多说一句话,幽灵不再和你多说一句话,The ghost falls silent and will say no more.
费伦，我的孩子，我带你回家吧。,费伦，我的孩子，我带你回家吧。,"Ferren, my child. Let me take you home."
谢谢。我很快就能想起来了。,谢谢。我很快就能想起来了。,Thank you. I'll remember soon.
我全部都想起来了！是那个可恶的巫师带走了我的孩子！不不是的，不是这样的，我全部都想起来了！,我全部都想起来了！是那个可恶的巫师带走了我的孩子！不不是的，不是这样的，我全部都想起来了！,I remember everything! That wretched wizard took my child! No — that's not right — I remember everything!
所有人都被骗了！这里是个巨大的谎言！你要快点逃出去！我也要，我也要……不不！！！我已经走不了了……,所有人都被骗了！这里是个巨大的谎言！你要快点逃出去！我也要，我也要……不不！！！我已经走不了了……,"Everyone's been deceived! This whole place is a lie! You have to escape! I'll escape too, I — NO!!! I can't leave anymore..."
原来我已经死了，可是我的孩子……我的孩子啊，你在哪里？,原来我已经死了，可是我的孩子……我的孩子啊，你在哪里？,"So I'm already dead... But my child... my child, where are you?"
他已经陷入了疯狂,他已经陷入了疯狂,He's lost his mind.
就连死亡也不是归宿，我们永远无法逃离,就连死亡也不是归宿，我们永远无法逃离,Even death is no escape. We can never leave.
进入第一层,进入第一层,Entering Floor 1
进入第二层,进入第二层,Entering Floor 2
进入第三层,进入第三层,Entering Floor 3
进入第四层,进入第四层,Entering Floor 4
进入第五层,进入第五层,Entering Floor 5
进入第六层,进入第六层,Entering Floor 6
进入第七层,进入第七层,Entering Floor 7
进入第八层,进入第八层,Entering Floor 8
进入第九层,进入第九层,Entering Floor 9
进入第十层,进入第十层,Entering Floor 10
进入隐秘的房间,进入隐秘的房间,Entering the Secret Room
你好，勇士。要买点什么吗？,你好，勇士。要买点什么吗？,"Hello, brave one. Looking to buy something?"
黄色钥匙	200gold,黄色钥匙	200gold,Yellow Key	200 gold
你的选择没错,你的选择没错,A fine choice.
获得黄色钥匙x1,获得黄色钥匙x1,Obtained Yellow Key x1
普通的铁剑	1000gold,普通的铁剑	1000gold,Iron Sword	1000 gold
真有眼光,真有眼光,You have good taste.
获得普通的铁剑x1,获得普通的铁剑x1,Obtained Iron Sword x1
离开,离开,Leave
下次见，亲爱的勇士,下次见，亲爱的勇士,"See you next time, dear customer."
书架上摆满了魔法书，你一个字也看不懂。直到你仔细翻查，在角落里发现了记忆药水和一页笔记。,书架上摆满了魔法书，你一个字也看不懂。直到你仔细翻查，在角落里发现了记忆药水和一页笔记。,"The shelves are lined with spellbooks, all in a language you can't read. After searching thoroughly, you find a Memory Potion and a page of notes in the corner."
你发现了巫师的一则手记。,你发现了巫师的一则手记。,You find a wizard's journal entry.
地上的骸骨属于一个孩子。他得了疫病，为了不感染其他人，小孩选择独自出走，遇到了巫师。,地上的骸骨属于一个孩子。他得了疫病，为了不感染其他人，小孩选择独自出走，遇到了巫师。,"The bones on the ground belong to a child. Stricken by plague, the child left alone to protect others, and crossed paths with the wizard."
巫师带着他来到魔塔中，一边研究一边尝试治疗他。,巫师带着他来到魔塔中，一边研究一边尝试治疗他。,"The wizard brought the child into the magic tower, studying and trying to cure him."
可惜，还没来得及痊愈，小孩就死了，巫师也受到了感染。,可惜，还没来得及痊愈，小孩就死了，巫师也受到了感染。,"Alas, before the child could be healed, he died. The wizard too became infected."
你发现了巫师的一则手记，上面记录着魔法。,你发现了巫师的一则手记，上面记录着魔法。,You find a wizard's journal entry detailing a spell.
没有什么可以探查的了,没有什么可以探查的了,There's nothing left to investigate.
